(Cisco Controller) >show ap summary



Number of APs.................................... 129


Global AP User Name.............................. swadmin

Global AP Dot1x User Name........................ Not Configured


AP Name             Slots  AP Model              Ethernet MAC       Location          Country     IP Address       Clients   DSE Location  
AP78da.6e52.5537     2     AIR-CAP2602I-A-K9     78:da:6e:52:55:37  default location  US          172.22.40.168      1       [0 ,0 ,0 ]

WHA3-02              2     AIR-CAP2602I-A-K9     88:5a:92:70:50:87  Warehouse A : ID  US          172.22.40.232      2       [0 ,0 ,0 ]

AP78da.6e52.5c40     2     AIR-CAP2602I-A-K9     78:da:6e:52:5c:40  default location  US          172.22.40.202      0       [0 ,0 ,0 ]

SW-SF1-CAP-1DA4      2     AIR-CAP2702I-A-K9     5c:83:8f:cc:1d:a4  Sales Floor       US          172.22.40.104      16      [0 ,0 ,0 ]

SW-SF1-CAP-E12C      2     AIR-CAP2702I-A-K9     e8:65:49:44:e1:2c  Sales Floor       US          172.22.40.108      8       [0 ,0 ,0 ]

SW-SF1-CAP-45E8      2     AIR-CAP2702I-A-K9     a4:6c:2a:f5:45:e8  Sales Floor       US          172.22.40.103      22      [0 ,0 ,0 ]

DIA1-AP-07           2     AIR-CAP2602I-A-K9     44:03:a7:f5:e7:9b  Diner Extension   US          172.22.40.171      15      [0 ,0 ,0 ]

WHA3-01              2     AIR-CAP2602E-A-K9     50:87:89:e2:a5:d7  Warehouse A : ID  US          172.22.40.221      1       [0 ,0 ,0 ]

Marketing02          2     AIR-CAP2602I-A-K9     88:5a:92:70:b4:e0  Marketing-Anex    US          172.22.40.225      0       [0 ,0 ,0 ]

DIA1-AP-01           2     AIR-CAP2602I-A-K9     6c:41:6a:78:b3:f1  Diner Extension   US          172.22.40.178      10      [0 ,0 ,0 ]

WHA3-05              2     AIR-CAP2602I-A-K9     78:da:6e:0f:69:af  Warehouse A : ID  US          172.22.40.219      10      [0 ,0 ,0 ]

APf4cf.e2ab.c2a8     2     AIR-CAP2702I-A-K9     f4:cf:e2:ab:c2:a8  Retail Store - O  US          172.22.40.152      7       [0 ,0 ,0 ]

SW-SF1-CAP-D160      2     AIR-CAP2702I-A-K9     5c:83:8f:45:d1:60  Sales Floor       US          172.22.40.119      20      [0 ,0 ,0 ]

AP78da.6ec2.74cf     2     AIR-CAP2602I-A-K9     78:da:6e:c2:74:cf  default location  US          172.22.40.230      5       [0 ,0 ,0 ]

